id,date,text
104193,2025-04-24 09:09:21+00:00,"2025.04.24 18:09:20
기업명: 이지스레지던스리츠(시가총액: 1,556억)
보고서명: 타법인주식및출자증권취득결정(자율공시)

취득회사 : 이지스글로벌레지던스위탁관리부동산투자회사(대한민국)
주요사업 : 부동산관리

취득금액 : 100억
자본대비 : 3.2%
- 취득 후 지분율 : 100%

예정일자 : 2025-04-25
취득목적 : 당사의 100% 자회사인 (주)이지스글로벌레지던스위탁관리부동산투자회사(이하 ""자회사"") 추가 출자를 통해 자회사가 보유한 이지스USCore일반사모부동산투자신탁458호 추가 투자

* 취득방법 
현금취득


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800839
회사정보: https://finance.naver.com/item/main.nhn?code=350520"
104192,2025-04-24 09:09:12+00:00,"2025.04.24 18:09:11
기업명: 동성제약(시가총액: 1,040억)
보고서명: 주요사항보고서(교환사채권발행결정)

발행금액 : 70억(전체대비 : 7.13%)
발행방법 : 사모
교환가액 : 3,985원(현재가 : 3,985원)
표면이율 : 0.0%
만기이율 : 5.0%

납입일자 : 2025-05-23
교환시작 : 2025-05-26
교환종료 : 2028-04-23

* 투자자
딥랩코리아


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000588
회사정보: https://finance.naver.com/item/main.nhn?code=002210"
104191,2025-04-24 09:00:58+00:00,"2025.04.24 18:00:57
기업명: 지놈앤컴퍼니(시가총액: 934억)
보고서명: 주요사항보고서(전환사채권발행결정)

발행금액 : 271억(전체대비 : 21.42%)
발행방법 : 사모
전환가액 : 3,025원(현재가 : 3,005원)
최저조정 : -
표면이율 : 0%
만기이율 : 3%

납입일자 : 2025-04-28
청구시작 : 2026-04-28
청구종료 : 2055-03-28

* 투자자
한국투자 바이오 글로벌 펀드
에스브이 스케일업 펀드
티에스 2020-13 M&A 성장조합
파라투스뉴노멀티씨비사모투자 합자회사
DSC초기기업스케일업펀드
...


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000581
회사정보: https://finance.naver.com/item/main.nhn?code=314130"
104190,2025-04-24 08:56:38+00:00,"2025.04.24 17:56:38
기업명: 퓨처코어(시가총액: 1,216억)
보고서명: 기타시장안내              (개선계획 이행내역서 제출)

제목 : ㈜퓨처코어 개선계획 이행내역서 제출


        
      
동사는 '24.09.03 코스닥시장위원회 심의·의결을 통하여 7개월의 개선기간을 부여받은 바 있으며, '25.04.03 동 개선기간이 종료됨에 따라 '25.04.24 개선계획 이행내역서를 제출하였습니다.

이와 관련하여 거래소는 해당 제출일로부터 20일('25.05.27, 영업일 기준) 이내에 코스닥시장위원회를 개최하여 상장폐지 여부를 결정할 예정입니다.


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424900827
회사정보: https://finance.naver.com/item/main.nhn?code=151910"
104189,2025-04-24 08:51:02+00:00,"2025.04.24 17:51:01
기업명: 풀무원(시가총액: 5,874억)
보고서명: 주요사항보고서(자기주식처분결정)

* 보통주
처분수량 : 29,908주(5억)
전체대비 : 

* 우선주
처분수량 : (-)
전체대비 : 

처분목적 : 주요 임원 대상 Stock Grant 부여를 위한 자기주식 교부
중개업자 : NH투자증권
결정일자 : 2025-04-24


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000570
회사정보: https://finance.naver.com/item/main.nhn?code=017810"
104188,2025-04-24 08:39:14+00:00,"2025.04.24 17:39:13
기업명: 웅진(시가총액: 839억)
보고서명: 유상증자결정(종속회사의주요경영사항)

자회사 : ㈜더블유제이라이프홀딩스

증자방식 : 주주배정증자
증자비율 : 10000.0주/1주당

발표일자 : 2025.04.24
기준일자 : 2025-04-24
청약일자 : -
납입일자 : 2025-04-24
상장일자 : 

시설자금 : 
영업양수 : 
운영자금 : 
채무상환 : 
 타법인  : 1,000억
기타자금 :


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800778
회사정보: https://finance.naver.com/item/main.nhn?code=016880"
104187,2025-04-24 08:35:55+00:00,"2025.04.24 17:35:54
기업명: 웅진(시가총액: 839억)
보고서명: 타법인주식및출자증권취득결정

취득회사 : ㈜더블유제이라이프홀딩스(대한민국)
주요사업 : 지주사업, 경영자문 및 컨설팅업

취득금액 : 1,000억
자본대비 : 52.94%
- 취득 후 지분율 : 100%

예정일자 : 2025-04-24
취득목적 : 종속회사의 타법인지분취득 재원 마련을 위한 유상증자 참여

* 취득방법 
현금취득(주주배정 유상증자 참여)


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800785
회사정보: https://finance.naver.com/item/main.nhn?code=016880"
104186,2025-04-24 08:31:49+00:00,"2025.04.24 17:31:48
기업명: 케이티앤지(시가총액: 13조 8,541억)
보고서명: 기업설명회(IR)개최(안내공시)

개최일자 : 2025-05-08
개최시각 : 16:00

*IR 목적
2025년 1분기 경영실적 등 설명

*IR 내용
2025년 1분기 경영실적 발표 및 질의응답


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800797
회사정보: https://finance.naver.com/item/main.nhn?code=033780"
104185,2025-04-24 08:31:31+00:00,"2025.04.24 17:31:30
기업명: 스피어(시가총액: 3,596억)
보고서명: 단일판매ㆍ공급계약체결

계약상대 : 미국 글로벌 우주항공 발사업체 
계약내용 : 특수합금 공급계약 
공급지역 : 해외 
계약금액 : 192억

계약시작 : 2025-04-24
계약종료 : 2025-12-07
계약기간 : 7개월
매출대비 : 752.33%

공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424900780
최근계약 : https://www.awakeplus.co.kr/board/contract/347700
회사정보: https://finance.naver.com/item/main.nhn?code=347700"
104184,2025-04-24 08:26:01+00:00,"2025.04.24 17:26:00
기업명: 한화손해보험(시가총액: 4,652억)
보고서명: 타법인주식및출자증권취득결정

취득회사 : 캐롯손해보험(대한민국)
주요사업 : 손해보험업

취득금액 : 2,056억
자본대비 : 6.96%
- 취득 후 지분율 : 98.3%

예정일자 : 2025-04-29
취득목적 : 지분 취득에 따른 지배력 강화

* 취득방법 
현금 취득


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800755
회사정보: https://finance.naver.com/item/main.nhn?code=000370"
104183,2025-04-24 08:12:58+00:00,"2025.04.24 17:12:57
기업명: 한화오션(시가총액: 24조 7,888억)
보고서명: 풍문또는보도에대한해명(미확정)

보도내용 : [글로벌이코노믹] 한화오션, 어드밴티지 탱커스 VLCC 2척 수주 
발생일자 : 2025-04-24
해명내용 : 
 

본 공시는 2025년 4월 24일자 글로벌이코노믹 기사에 보도된 ""한화오션, 어드밴티지 탱커스 VLCC 2척 수주""에 대한 해명공시입니다. 
 
당사는 해당 기사 관련 계약 협의를 진행 중에 있으나, 아직 확정된 바는 없습니다. 
 
구체적인 사항이 확정되는 경우 해당 시점 또는 1개월 이내에 재공시 하겠습니다. 
 
(공시책임자) 재무실장 신용인
 

재공시 예정일 : 2025-05-23


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800749
회사정보: https://finance.naver.com/item/main.nhn?code=042660"
104182,2025-04-24 08:09:59+00:00,"2025.04.24 17:09:58
기업명: 블랙야크아이앤씨(시가총액: 902억)
보고서명: 유상증자결정(종속회사의주요경영사항)

자회사 : 에스티베타제일차

증자방식 : 주주배정증자
증자비율 : 0.33주/1주당

발표일자 : 2025.04.24
기준일자 : 2025-04-24
청약일자 : -
납입일자 : 2025-04-24
상장일자 : 

시설자금 : 
영업양수 : 
운영자금 : 
채무상환 : 
 타법인  : 45억
기타자금 :


공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424900742
회사정보: https://finance.naver.com/item/main.nhn?code=478560"
